key_mlbam,key_retro,key_fangraphs,name_last,name_first
502161,couss001,173,Cousins,Scott
817601,reddu101,-1,Redd,Ulysses
817377,sancr102,-1,Sánchez,Raúl
150067,trubc001,799,Truby,Chris
111142,boehg101,1001114,Boehler,George
819025,higbr101,-1,Higbee,Robert
118054,lyont103,1007888,Lyons,Terry
117420,laket001,1681,Laker,Tim
817326,scotj107,-1,Scott,Joe
668939,rutsa001,26288,Rutschman,Adley
111942,campc102,1001894,Camper,Cardell
519023,mesod001,5666,Mesoraco,Devin
572204,thomt002,9952,Thompson,Trayce
111199,bonib001,1001168,Bonilla,Bobby
118227,mandc101,1008052,Manda,Carl
113267,denmb101,1003205,Denman,Brian
119973,oleac101,1009765,O'Leary,Charley
120311,paulg101,1010083,Paulsen,Gil
594940,munod001,12214,Muno,Daniel
818818,jenkh102,-1,Jenkins,Honey
820366,broos101,-1,Brooks,Sidney
121955,seanr001,1279,Seánez,Rudy
115533,harrn101,1005426,Harris,Ned
816770,walke103,-1,Walker,Edsall
820154,cartb102,-1,Carter,Bill
112207,chaph101,1002154,Chappas,Harry
115478,harks101,1005365,Harkness,Spec
400067,silvc001,973,Silva,Carlos
-1,cotee901,-1,Cote,Emilien
123275,thomb106,1013002,Thompson,Bobby
818532,,-1,Lee,
605280,holmc001,13649,Holmes,Clay
113746,edmop101,1003680,Edmondson,Paul
123386,tomeg101,1013109,Tomer,George
820591,barnf103,-1,Barnes,Fred
-1,jevnf901,-1,Jevne,Fred
118468,may-c101,1008291,May,Carlos
124258,wilhs101,1013948,Wilhelm,Spider
121482,rossj001,1011228,Rosselli,Joe
118201,mallj102,1008030,Mallonee,Jule
407885,ellim001,1443,Ellis,Mark
124754,zeidr101,1014428,Zeider,Rollie
527049,puelc001,7216,Puello,César
819144,harrw101,-1,Harris,Wilmer
123373,toddj101,1013096,Todd,Jackson
820563,battr101,-1,Battle,Rufus
123547,uhalf101,1013263,Uhalt,Frenchy
113710,eastp101,1003641,Easterling,Paul
118889,meadj101,1008704,Meador,Johnny
700932,manzk001,-1,Manzardo,Kyle
819305,gravb101,-1,Graves,Bob
